Tipo,Habitaciones,Ba�os,Area,Barrio,Valor
Apartamento,2,3,82,Bella Suiza,450000000
Apartamento,1,1,57,Zona Noroccidental,350000000
Apartamento,2,2,51,Usaquén,205000000
Casa,4,5,236,Usaquén,1200000000
Apartamento,3,2,54,Fontibón,169000000
Apartamento,1,2,66,Santa Barbara,375000000
Apartamento,3,3,120,Las Villas,460000000
Apartamento,1,2,48,Cedritos,308000000
Apartamento,2,4,104,Chico Reservado,1100000000
Apartamento,2,2,69,Cedritos,400000000
Casa,4,2,200,Modelia,860000000
Casa,7,4,325,Usaquén,1650000000
Apartamento,1,1,53,San Patricio,565000000
Apartamento,3,2,63,Barrancas,238000000
Apartamento,3,3,108,Cedritos,503000000
Apartamento,3,2,86,Zona Noroccidental,330000000
Apartamento,2,2,69,Cedritos,400000000
Casa,7,4,325,Usaquén,1650000000
Apartamento,3,2,96,Cedritos,580000000
Apartamento,3,3,108,Cedritos,503000000
Apartamento,4,3,135,Cedritos,635000000
Apartamento,3,2,103,Zona Noroccidental,499000000
Apartamento,2,2,53,Cedritos,371000000
Apartamento,3,2,56,Tintala,179000000
Apartamento,2,2,83,Teusaquillo,348200000
Apartamento,3,2,63,Barrancas,238000000
Apartamento,3,2,59,Ciudad Bolívar,173000000
Apartamento,3,3,66,Usaquén,257000000
Apartamento,2,4,104,Chico Reservado,1100000000
Apartamento,3,2,70,Engativa,298500000
Apartamento,3,2,100,Ciudad Salitre,680000000
Apartamento,3,2,100,Quinta Paredes,680000000
Apartamento,3,2,45,Hayuelos,217000000
Apartamento,3,5,178,Usaquén,1050000000
Casa,4,3,105,Usaquén,375000000
Apartamento,4,4,158,Cedritos,660000000
Apartamento,3,2,73,Zona Noroccidental,318000000
Apartamento,3,2,98,Cedritos,458000000
Apartamento,1,2,69,Santa Barbara,425000000
Oficina/Consultorio,4,2,200,Ciudad Salitre,2000000000
Apartamento,3,2,78,Kennedy,343000000
Apartamento,3,4,100,Usaquén,730000000
Apartamento,3,1,54,Candelaria La Nueva,140000000
Casa,4,4,220,Zona Noroccidental,1300000000
Apartamento,3,2,89,Kennedy,385000000
Apartamento,1,2,59,Usaquén,369000000
Apartamento,1,2,51,Puente Aranda,366000000
Apartamento,2,3,92,Usaquén,378000000
Apartamento,1,2,54,Cedritos,355000000
